id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本,第二版文件类型
L000000,2023.03.25,BV1LX4y1o7qR,,0,96713,,m4a,堕,,,,Zyboy忠宇,黎酩Lunette,黎半首,汉语,,,TRUE,,FALSE,
L000001,2023.03.25,,,0,184669,,m4a,Fly me to the moon,,,,Bart Howard,黎酩Lunette,黎整首,英语,出道回,,TRUE,,FALSE,
L000002,2023.03.25,,,0,193401,,m4a,有你的快乐,,,,王若琳,黎酩Lunette,黎整首,汉语,出道回,,TRUE,,FALSE,
L000003,2023.03.25,,,0,257806,,m4a,百万个吻,,,,陈明真,黎酩Lunette,黎整首,汉语,出道回,,TRUE,,FALSE,
L000004,2023.03.25,,,0,237197,,m4a,世界正中,,,,陈粒,黎酩Lunette,黎整首,汉语,出道回,,TRUE,,FALSE,
L000005,2023.03.25,,,0,283787,,m4a,这世界有那么多人,,,,莫文蔚,黎酩Lunette,黎整首,汉语,出道回,,TRUE,,FALSE,
L000006,2023.03.26,,,0,235319,,m4a,离别总是那么突然,,,,张惠妹,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000007,2023.03.26,,,0,190105,,m4a,若把你,,,,Kirsty刘瑾睿,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000008,2023.03.26,,,0,298668,,m4a,怎么唱情歌,,,,刘惜君,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000009,2023.03.26,,,0,231634,,m4a,虚拟,,,,陈粒,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000010,2023.03.26,,,0,250068,,m4a,迷迭香,,,,周杰伦,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000011,2023.03.26,,,0,227673,,m4a,九万字,,,,黄诗扶,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000012,2023.03.26,,,0,248268,,m4a,你是我的风景,,,,何洁,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000013,2023.03.26,,,0,237469,,m4a,暖暖,,,,梁静茹,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000014,2023.03.26,,,0,251656,,m4a,恋爱告急,,,,鞠婧祎,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000015,2023.03.26,,,0,213536,,m4a,爱你,,,,王心凌,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000016,2023.03.26,,,0,188002,,m4a,情人,,,,蔡徐坤,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000017,2023.03.26,,,0,269701,,m4a,人是_,,,,周深,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000018,2023.03.26,,,0,344286,,m4a,连名带姓,,,,张惠妹,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000019,2023.03.26,,,0,142235,,m4a,宝贝,,,,张悬,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000020,2023.03.26,,,0,275614,,m4a,萱草花,,,,张小斐,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000021,2023.03.27,,,0,218539,,m4a,慢慢喜欢你,,,,莫文蔚,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000022,2023.03.27,,,0,247135,,m4a,你的眼神,,,,蔡琴,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000023,2023.03.27,,,0,244935,,m4a,阿楚姑娘,,,,袁娅维,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000024,2023.03.27,,,0,249535,,m4a,迷迭香,2.0,,,周杰伦,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000025,2023.03.27,,,0,303302,,m4a,爱人,,,,莉莉周她说,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
L000026,2023.03.27,,,0,283634,,m4a,记得,,,,张惠妹,黎酩Lunette,黎整首,汉语,,,TRUE,,FALSE,
